,Klatch concept,Parent Object,Child Objects,Metadata,Claude.ai,Claude Code (filesystem),"Claude Code (cloud repo, not supported yet)",Klatch UI,Notes,Implementation status
Environment,Klatch,N/A,Project,,N/A,N/A,N/A,This is Klatch,Klatch needs concept of other environments for I/O,Klatch is the environment. No multi-environment awareness yet.
Kit Briefing,Kit Briefing,Klatch,,Kit Briefing,"Not explicit — claude.ai uses an internal skills model, no user-visible system prompt about capabilities","Claude Code injects tool capabilities via system prompt (not exported, not visible to us)","Same as filesystem, presumably","Injected at stream time for imported chats. Should be inspectable by user, acknowledged by imported branch (issue #13).","Both products orient Claude about its environment internally. We can't see or import that orientation — our kit briefing replaces it with Klatch-appropriate orientation (no tools, conversation only).",✅ Implemented. Layer 1 of 5-layer prompt assembly. Not yet user-inspectable (#13).
Project name,Project name,,,Project name,projects.json > name,basename of cwd,repo name,"Project settings, sidebar accordion header","Requires merge/dedup, fuzzy-match offer with confirm?",✅ Imported and stored in projects.name. Dedup by source identity (UUID or cwd). No fuzzy-match yet.
Project location,(not supported yet),Project,,Project location,(a relative cloud mount),local folder (cwd),github repo,Not supported yet,"Medium-term: enable chats to access a local folder associated with their project. Later: github interchange when we have skills.",⏳ cwd stored in sourceMetadata but not a first-class field. No file access yet.
Project instructions,Project instructions,,,Project instructions,projects.json > prompt_template,CLAUDE.md > project.instructions,??,"Project settings, editable but typically imported with branch","May require merge/dedup when importing chats from different versions of the same project",✅ Stored in projects.instructions. Imported from both sources. Layer 2 of prompt assembly.
Project memory,Project memory,,,Project memory,"conversations_memory + project_memories from ZIP > project.memory",".claude/MEMORY.md > project.memory",??,"Project settings, editable but typically imported with branch","May require merge/dedup when reimporting. claude.ai global memories merged with project-scoped memories, labeled by source.",✅ Fixed this session. Stored in projects.memory (new column). Both claude.ai memories and MEMORY.md now imported. Layer 3 of prompt assembly.
Project resources,(not supported yet),,,Project resources,"Project knowledge base (docs_content in ZIP — parsed but not stored as files, only in sourceMetadata)","Files in folder, accessible via cwd",Files in repository,Not supported yet — show to user and enable agent access (eventually),"claude.ai knowledge files ARE in the ZIP as docs_content. We parse them. Medium-term: display to user, enable agent read access.",⏳ Parsed from ZIP but not surfaced in UI or available to agents.
Files,(not supported yet),,Files,,Files,Files in folder,Files in repository,Not supported yet,,⏳ No file support yet.
Project,Project,Environment,,,Project,Project (inferred from cwd),Project (inferred from repo),Sidebar accordion section. Project settings panel (name + instructions + memory).,,"✅ projects table with name, instructions, memory, source, sourceMetadata."
Channel,,,Chat or Klatch,,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,"Internal grouping concept. Chats shown with @, klatches shown with #.","Data model: channels table with type='chat' or type='klatch'. User never sees the word 'channel' in the UI.",✅ channels table with type discriminator. UI uses Chat/Klatch terminology.
Name,,,,Channel name,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,"Chat: conversation name with @. Klatch: klatch name with #.",,"✅ channels.name, editable in settings."
Channel,Channel,Project,,,"""","""","""","""","Abstract container — the user sees Chat or Klatch, not Channel.",
Group Chat,,,Klatch,,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,Klatch (multi-entity group conversation),,✅ type='klatch'. Creation UI not yet built (#10).
Klatch topic,,,,Klatch topic,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,"Editable as 'Klatch prompt' in settings (was 'channel prompt', avoiding 'channel' in UI).",,"✅ Stored in channels.system_prompt. UI shows textarea only for klatches (Decision 4, this session)."
Group Chat,Klatch,Channel,,,"""","""","""",Klatch,,
Chat in group chat,,,Chat,,"""","""",,UI for adding chats to klatch still TBD.,"Currently modeled as entity assignment to channel, not as sub-chats. May grow into per-entity chat objects if we need per-entity settings within a klatch.",⏳ Entity assignment exists. No sub-chat concept yet.
Conversation name,,,,Conversation name,"conversation.name from ZIP (imported as channel name)","Generated from cwd + date, or user-provided","Same as filesystem, presumably","Editable name, shown with @",,✅ Imported and editable.
Nickname,,,,Nickname,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,"Future: nickname view option and @mentions in group chat. Maybe @mention in 1:1 could start a group chat.",Future idea.,"⏳ Entities have name + handle. No nickname aliasing per-channel yet."
Role prompt,,,,Role prompt,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,"Supported via entity system prompt, could be more assistive.","PO has projects with hacked-in roles. This is the entity's system prompt — layer 5 of prompt assembly.",✅ entities.system_prompt. Editable in entity manager. Manual creation for now (Decision 3).
Chat model,,,,Chat model,"Lost on import (not in claude.ai export)","Extracted from JSONL (imported, stored on channel)","Lost on import, presumably","User can override. Show (detected) flag when model was imported vs defaulted.","Claude Code: ✅ model imported. claude.ai: ❌ not in export, defaults to user preference. Should indicate provenance to user.",⚠️ Partially implemented. Code imports model. claude.ai defaults. No provenance indicator yet.
Message history,,,,Message history,chat_messages from ZIP,JSONL events,JSONL events,Imports and displays with timestamps and artifacts.,,✅ Full message import from both sources with original timestamps.
Tool use,,,,Tool use,Info imports (tool_use/tool_result in messages),Info imports (tool_use/tool_result in JSONL),?,We show imported tool info (collapsible artifacts) but have no tool use yet.,"Start with selective tool use: file read/write first. Track carefully the difference when importing or later exporting back.",⚠️ Import info only. No tool execution. Medium-term: selective tool use starting with file I/O.
Chat,Chat,Channel,,,Conversation,Conversation (JSONL session),Conversation (JSONL session),"Chat, shown with @",,✅ type='chat' in channels table.
Message,,,Message,,Imported from chat_messages,Imported from JSONL events,Imported from JSONL events,Displayed in message list with role/content/timestamp.,,✅ messages table with full import support.
Time stamp,,,,Time stamp,Imported (created_at from messages),Imported (timestamp from events),Imported (timestamp from events),Shown in message list. Used for sort-by-activity.,,"✅ original_timestamp preserved, used for display."
